k,runtime_ms,inertia
2,2.58,185.2024917285283
3,4.0,124.43487377200151
4,3.37,91.22609188561808
5,3.85,61.25656944287423
6,11.34,44.27368111014774
7,4.72,35.6876475841239
8,5.61,27.42218211543569
9,11.97,22.632118997806884
10,37.51,18.96404770795496
11,24.91,15.600481443319735
12,7.68,13.768413261614446
13,13.6,11.970729337422998
14,5.65,10.397275345298148
15,8.85,9.623503050351669
16,10.6,8.649964388525273
17,6.89,7.646121104910214
18,13.41,7.099064795298996
19,23.05,6.56050400087403
20,12.16,6.21092783779988
21,18.24,5.736751445897899
22,13.44,5.732308095696025
23,11.3,5.2731740362940585
24,8.91,4.879651519681401
25,10.12,4.632871986292701
26,11.0,4.437739546109225
27,15.49,4.25819810079335
28,13.05,4.255284160506922
29,36.85,3.9914367936525204
30,10.7,3.713081414602433
31,18.66,3.761502898484112
32,15.38,3.555474918400933
33,16.84,3.5305553618692764
34,14.97,3.3346990961488103
35,13.75,3.210854204286404
36,14.87,3.1102148290082354
37,18.8,3.0573452966810484
38,22.35,2.9189789089892693
39,21.67,2.8459494865214925
40,24.19,2.7671208122069713
41,36.37,2.7328634332815334
42,24.33,2.6410110052484423
43,19.78,2.6431014970977023
44,23.48,2.4961486552095122
45,30.01,2.5117493136512588
46,25.88,2.4525317924618806
47,24.16,2.360145176883509
48,25.09,2.343001310576155
49,26.95,2.2793270461314314
